,Cities,Cloudiness,Country Code,Humidity,Latitude,Longitude,Temperature,Wind Speed
0,puerto ayora,44,EC,100,-0.74,-90.35,75.26,6.06
1,naples,90,US,78,26.14,-81.79,71.55,2.71
2,cape town,0,ZA,77,-33.93,18.42,64.4,5.82
3,lompoc,90,US,87,34.64,-120.46,51.8,3.36
4,new norfolk,20,AU,40,-42.78,147.06,69.8,17.22
5,barrow,0,AR,91,-38.31,-60.23,54.56,9.19
6,atuona,68,PF,100,-9.8,-139.03,81.38,16.35
7,hobart,20,AU,40,-42.88,147.33,69.8,17.22
8,kavieng,12,PG,100,-2.57,150.8,84.44,8.19
9,rikitea,20,PF,100,-23.12,-134.97,79.04,4.94
10,te anau,80,NZ,91,-45.41,167.72,51.32,17.02
11,namibe,68,AO,100,-15.19,12.15,78.14,1.48
12,tuktoyaktuk,76,CA,78,69.44,-133.03,-3.03,9.17
13,torbay,90,CA,74,47.66,-52.73,28.4,8.05
14,iraray,32,PH,95,8.99,118.05,84.35,10.42
15,chapais,90,CA,71,49.78,-74.86,6.8,4.7
16,sorland,40,NO,100,67.67,12.69,22.17,8.05
17,severo-kurilsk,92,RU,99,50.68,156.12,31.25,18.14
18,cefalu,20,IT,100,38.04,14.02,39.71,2.04
19,kralendijk,92,BQ,78,12.15,-68.27,78.8,9.17
20,westport,90,IE,100,53.8,-9.52,37.4,10.29
21,bethel,1,US,63,60.79,-161.76,28.4,13.87
22,oxapampa,76,PE,100,-10.58,-75.4,49.52,0.36
23,mataura,92,NZ,73,-46.19,168.86,59.15,27.98
24,verkhoyansk,88,RU,82,67.55,133.39,27.11,3.6
25,emba,0,CY,56,34.81,32.42,65.93,2.24
26,juegang,56,CN,67,32.31,121.18,71.57,15.12
27,alofi,92,NU,94,-19.06,-169.92,78.8,4.7
28,poum,20,MK,75,41.28,20.71,41.0,2.24
29,mount gambier,0,AU,62,-37.83,140.78,68.6,4.38
30,beringovskiy,0,RU,95,63.05,179.32,27.65,5.17
31,ilulissat,20,GL,78,69.22,-51.1,10.4,2.24
32,busselton,0,AU,83,-33.64,115.35,75.44,9.42
33,jamestown,0,AU,33,-33.21,138.6,75.44,6.96
34,itarema,48,BR,94,-2.92,-39.92,74.45,3.04
35,tasiilaq,44,GL,79,65.61,-37.64,19.4,17.22
36,bredasdorp,8,ZA,93,-34.53,20.04,59.0,13.0
37,albany,90,US,69,42.65,-73.75,30.43,6.93
38,ayan,8,TR,65,40.67,33.6,37.73,3.49
39,hilo,1,US,88,19.71,-155.08,73.4,6.93
40,cidreira,80,BR,97,-30.17,-50.22,67.97,6.73
41,saint-augustin,0,FR,87,44.83,-0.61,50.81,10.29
42,sola,90,FI,92,62.78,29.36,28.4,9.17
43,oranjestad,80,AW,100,12.52,-70.03,77.42,15.68
44,pilar,0,AR,72,-34.46,-58.91,64.31,3.36
45,kapaa,40,US,83,22.08,-159.32,71.47,8.05
46,luderitz,80,NA,82,-26.65,15.16,62.6,1.12
47,fram,0,SI,50,46.45,15.64,47.86,20.8
48,palmer,1,US,70,61.6,-149.11,33.04,27.51
49,kodiak,90,US,100,39.95,-94.76,33.8,3.36
50,guerrero negro,80,MX,100,27.97,-114.04,55.37,7.74
51,miastko,92,PL,97,54.0,16.98,32.15,12.21
52,machico,20,PT,76,32.7,-16.77,59.22,3.36
53,hermanus,76,ZA,96,-34.42,19.24,62.3,5.95
54,yellowknife,5,CA,63,62.45,-114.38,-7.61,8.05
55,esperance,20,TT,83,10.24,-61.45,77.0,5.61
56,dunmore east,92,IE,96,52.15,-6.99,47.45,10.2
57,butaritari,80,KI,100,3.07,172.79,82.82,10.2
58,castro,92,CL,100,-42.48,-73.76,54.92,3.6
59,tuatapere,56,NZ,100,-46.13,167.69,57.8,26.98
60,victoria,75,BN,70,5.28,115.24,83.98,6.93
61,san quintin,20,PH,55,17.54,120.52,87.8,9.17
62,kokopo,56,PG,100,-4.34,152.27,82.1,8.41
63,san policarpo,80,PH,92,12.18,125.51,81.74,11.65
64,khatanga,48,RU,92,71.98,102.47,-4.04,4.94
65,mehamn,75,NO,93,71.03,27.85,32.0,25.28
66,ostrovnoy,92,RU,97,68.05,39.51,28.01,18.7
67,ushuaia,75,AR,80,-54.81,-68.31,41.0,16.11
68,punta arenas,0,CL,80,-53.16,-70.91,41.0,11.41
69,port macquarie,75,AU,73,-31.43,152.91,75.2,8.05
70,the valley,20,AI,78,18.22,-63.06,77.0,4.7
71,tromso,0,NO,85,69.65,18.96,17.6,1.12
72,anadyr,40,RU,92,64.73,177.51,24.8,2.24
73,prince rupert,90,CA,100,54.32,-130.32,35.6,9.17
74,grindavik,75,IS,92,63.84,-22.43,27.28,14.99
75,bluff,88,AU,46,-23.58,149.07,84.44,16.02
76,chuy,56,UY,99,-33.69,-53.46,66.44,5.17
77,geraldton,5,CA,69,49.72,-86.95,-13.01,2.24
78,faanui,76,PF,100,-16.48,-151.75,82.19,11.43
79,bambous virieux,75,MU,88,-20.34,57.76,80.6,8.05
80,norman wells,20,CA,70,65.28,-126.83,-0.41,5.82
81,isangel,8,VU,100,-19.55,169.27,80.3,14.34
82,broken hill,0,AU,34,-31.97,141.45,77.69,14.56
83,santa maria da vitoria,0,BR,88,-13.39,-44.19,66.89,3.04
84,nyrad,92,DK,100,55.01,11.96,32.0,16.11
85,brae,20,GB,69,60.4,-1.35,36.63,13.87
86,samarai,48,PG,100,-10.62,150.67,83.09,6.4
87,maceio,20,BR,94,-9.67,-35.74,73.4,3.36
88,cherskiy,20,RU,73,68.75,161.3,32.24,5.73
89,hasaki,40,JP,64,35.73,140.83,72.73,9.17
90,longonjo,75,AO,100,-12.91,15.25,62.6,3.49
91,egvekinot,0,RU,94,66.32,-179.17,29.09,2.48
92,bathsheba,20,BB,78,13.22,-59.52,77.0,18.34
93,tautira,20,PF,83,-17.73,-149.15,78.8,3.36
94,kisanga,92,CD,95,-11.72,27.4,65.09,7.18
95,colinas,76,BR,97,-6.03,-44.25,70.85,2.48
96,itaituba,56,BR,99,-4.26,-55.99,73.55,1.59
97,georgetown,75,GY,100,6.8,-58.16,73.4,5.5
98,novyy urengoy,48,RU,92,66.08,76.63,1.37,17.81
99,tashara,32,RU,91,55.52,83.51,28.01,10.2
100,longyearbyen,75,NO,55,78.22,15.63,10.4,18.34
101,qaanaaq,0,GL,84,77.48,-69.36,-5.84,9.75
102,mocajuba,88,BR,99,-2.58,-49.5,73.01,2.37
103,vaini,0,IN,39,15.34,74.49,91.64,3.27
104,semey,76,KZ,82,50.41,80.25,28.82,10.42
105,lasa,0,CY,56,34.92,32.53,65.98,2.24
106,rawson,92,AR,45,-43.3,-65.11,62.75,9.31
107,mar del plata,64,AR,57,-46.43,-67.52,65.54,17.25
108,margate,20,AU,40,-43.03,147.26,69.8,17.22
109,itoman,40,JP,57,26.12,127.67,75.63,12.75
110,nsunga,92,TZ,100,-1.13,31.39,64.37,3.94
111,tual,80,ID,100,-5.67,132.75,77.87,11.65
112,seymchan,92,RU,89,62.93,152.39,32.24,7.4
113,khandbari,8,NP,70,27.38,87.21,42.95,0.36
114,pokosnoye,8,RU,40,55.53,101.05,32.42,6.17
115,alice springs,0,AU,14,-23.7,133.88,87.8,14.99
116,souillac,0,FR,76,45.6,-0.6,52.61,17.22
117,port alfred,80,ZA,95,-33.59,26.89,70.85,10.87
118,nikolskoye,90,RU,95,59.7,30.79,32.0,17.9
119,rapid valley,90,US,100,44.06,-103.15,16.66,13.87
120,zhangye,0,CN,89,38.94,100.46,49.43,4.27
121,nagato,20,JP,82,34.35,131.14,65.73,6.93
122,cabo san lucas,0,MX,98,22.89,-109.91,68.96,14.23
123,beloha,0,MG,68,-25.17,45.06,81.65,16.02
124,half moon bay,1,US,62,37.46,-122.43,53.62,8.08
125,tura,0,IN,66,25.52,90.21,84.53,3.15
126,smithers,75,CA,54,54.78,-127.17,28.4,5.82
127,port elizabeth,75,US,86,39.31,-74.98,36.82,7.07
128,yamada,75,JP,41,36.58,137.08,74.08,19.46
129,peniche,40,PT,93,39.36,-9.38,54.19,14.99
130,hamilton,75,BM,93,32.3,-64.78,64.4,2.24
131,lebedinyy,68,RU,44,58.52,125.52,10.64,8.63
132,oros,0,HU,70,47.95,21.8,44.6,8.05
133,lima,8,PE,87,-12.06,-77.04,54.92,1.92
134,hagersville,75,CA,86,42.96,-80.05,31.19,4.7
135,kahului,90,US,100,20.89,-156.47,69.51,9.17
136,ponta do sol,44,BR,94,-20.63,-46.0,64.19,3.04
137,kaitangata,0,NZ,57,-46.28,169.85,60.68,28.1
138,port blair,0,IN,100,11.67,92.75,84.35,7.96
139,airai,8,TL,64,-8.93,125.41,82.73,1.25
140,pisco,0,PE,73,-13.71,-76.2,69.8,9.17
141,ketchikan,90,US,93,55.34,-131.65,34.65,9.98
142,ribeira grande,20,PT,58,38.52,-28.7,57.2,18.34
143,saskylakh,0,RU,75,71.97,114.09,0.2,6.96
144,avarua,75,CK,88,-21.21,-159.78,77.0,8.05
145,san patricio,8,PY,94,-26.98,-56.83,64.19,2.15
146,nuuk,0,GL,74,64.17,-51.74,30.2,10.29
147,bemidji,90,US,61,47.48,-94.89,18.73,9.17
148,lorengau,44,PG,100,-2.02,147.27,82.37,9.86
149,riyadh,90,SA,19,24.63,46.72,78.8,6.93
150,magomeni,40,TZ,94,-6.8,39.25,78.1,5.82
151,harnosand,0,SE,62,62.63,17.94,14.63,8.05
152,mao,40,DO,100,19.55,-71.08,71.6,3.36
153,micheweni,88,TZ,100,-4.97,39.83,77.33,11.77
154,grand gaube,75,MU,79,-20.01,57.66,84.2,6.93
155,arraial do cabo,24,BR,96,-22.97,-42.02,75.35,2.71
156,tanete,20,ID,99,-3.94,119.78,82.28,3.94
157,saint-pierre,0,FR,70,48.95,4.24,51.17,10.29
158,ahuimanu,75,US,73,21.44,-157.84,69.8,13.87
159,port hardy,90,CA,86,50.7,-127.42,37.4,4.7
160,manzhouli,24,CN,27,49.6,117.43,27.92,19.48
161,riberalta,44,BO,95,-11.0,-66.08,75.17,1.03
162,san andres,0,PH,100,13.32,122.68,81.56,4.27
163,machinga,75,MW,82,-15.18,35.3,68.0,3.36
164,sitka,0,US,29,37.17,-99.65,64.82,20.49
165,lebu,75,ET,82,8.96,38.73,59.0,8.05
166,pipri,0,IN,35,24.21,83.02,90.11,4.16
167,baykit,44,RU,78,61.68,96.39,19.19,6.4
168,esmeraldas,0,BR,82,-19.76,-44.31,68.0,4.7
169,dakoro,0,NE,29,14.51,6.76,67.43,8.75
170,porto belo,20,BR,88,-27.15,-48.54,71.6,5.5
171,plettenberg bay,88,ZA,94,-34.05,23.37,65.81,4.16
172,adrar,75,DZ,52,27.87,-0.29,68.0,13.87
173,litovko,76,RU,34,49.24,135.18,32.6,13.44
174,concarneau,92,FR,93,47.88,-3.92,50.0,12.75
175,awjilah,0,LY,60,29.14,21.3,57.62,8.75
176,sobolevo,68,RU,88,54.43,31.9,32.24,16.35
177,povenets,92,RU,98,62.85,34.83,35.84,14.0
178,wani,0,IN,31,20.06,78.96,100.01,1.7
179,upernavik,20,GL,90,72.79,-56.15,12.98,12.66
180,port arthur,75,US,88,29.9,-93.93,72.32,16.11
181,san cristobal,75,EC,100,-0.39,-78.55,51.8,2.24
182,narsaq,64,GL,68,60.91,-46.05,32.0,5.82
183,visby,0,SE,92,57.64,18.3,28.4,2.24
184,ambunti,8,PG,76,-4.22,142.82,85.61,3.04
185,challans,64,FR,93,46.85,-1.88,51.82,9.17
186,kutum,0,SD,18,14.2,24.66,65.18,7.96
187,quesnel,75,CA,63,52.98,-122.49,28.4,2.24
188,benghazi,0,LY,82,32.12,20.07,55.4,13.87
189,tessalit,0,ML,35,20.2,1.01,62.03,3.38
190,sassandra,20,CI,97,4.95,-6.09,80.66,11.77
191,kastamonu,75,TR,100,41.38,33.78,35.6,4.7
192,agadez,0,NE,18,16.97,7.99,69.8,6.93
193,clervaux,40,LU,75,50.05,6.03,45.82,4.7
194,terryville,90,US,83,29.19,-97.07,75.2,12.75
195,dikson,36,RU,91,73.51,80.55,1.55,18.81
196,aklavik,75,CA,77,68.22,-135.01,-0.41,3.36
197,mogwase,48,ZA,88,-25.28,27.22,64.4,1.12
198,lagoa,40,PT,100,37.14,-8.45,57.2,8.05
199,mahebourg,75,MU,79,-20.41,57.7,84.2,6.93
200,dumbraveni,20,RO,86,46.23,24.57,37.4,5.82
201,yulara,0,AU,13,-25.24,130.99,91.4,13.87
202,kerman,0,IR,6,30.29,57.06,68.0,6.93
203,qaqortoq,92,GL,86,60.72,-46.03,32.0,5.82
204,east london,90,ZA,88,-33.02,27.91,69.8,9.17
205,hovd,0,NO,85,63.83,10.7,26.74,8.05
206,hofn,0,IS,100,64.25,-15.21,24.95,18.59
207,luba,100,PH,89,17.32,120.7,75.35,3.6
208,katobu,80,ID,80,-4.94,122.53,86.87,5.73
209,jiupu,92,CN,45,41.07,122.95,42.77,17.25
210,taree,75,AU,73,-31.91,152.46,75.2,8.05
211,saint george,0,GR,71,39.45,22.34,51.8,4.7
212,taltal,20,CL,100,-25.41,-70.49,50.87,2.26
213,togur,48,RU,88,58.36,82.83,22.34,15.12
214,puerto carreno,68,CO,86,6.19,-67.49,71.57,2.48
215,clyde river,90,CA,84,70.47,-68.59,8.6,4.7
216,storforshei,20,NO,61,66.4,14.52,15.8,4.7
217,provideniya,20,RU,100,64.42,-173.23,28.4,2.24
218,nueva loja,48,EC,98,0.08,-76.88,70.04,1.7
219,zverinogolovskoye,8,RU,100,54.46,64.85,32.06,4.72
220,kaduqli,12,SD,29,11.01,29.72,79.49,3.6
221,dingle,64,PH,75,11.0,122.67,82.55,8.41
222,maues,24,BR,100,-3.38,-57.72,72.11,2.48
223,witbank,64,ZA,100,-25.87,29.23,56.99,4.27
224,komsomolskiy,20,RU,70,67.55,63.78,-1.79,3.38
225,madang,80,PG,95,-5.21,145.81,80.3,3.6
226,saldanha,92,PT,100,41.42,-6.55,46.01,13.67
227,nemuro,75,JP,81,43.32,145.57,46.4,8.05
228,yar-sale,8,RU,83,66.83,70.83,3.8,13.33
229,banatski karlovac,0,RS,46,45.05,21.02,51.13,18.34
230,vuktyl,88,RU,77,63.86,57.31,28.19,11.21
231,biloela,80,AU,50,-24.4,150.51,79.94,15.46
232,thompson,5,CA,57,55.74,-97.86,-13.01,4.38
233,saint-philippe,1,CA,75,45.36,-73.48,31.95,5.82
234,los llanos de aridane,75,ES,72,28.66,-17.92,60.8,4.7
235,caravelas,8,BR,100,-17.73,-39.27,80.12,15.01
236,alekseyevsk,64,RU,56,57.84,108.35,25.94,7.85
237,sur,0,OM,77,22.57,59.53,83.27,0.92
238,zhuanghe,44,CN,60,39.7,122.97,51.77,16.69
239,klaksvik,48,FO,68,62.23,-6.59,26.6,19.46
240,hambantota,8,LK,92,6.12,81.12,86.51,3.49
241,basoko,88,CD,97,1.23,23.61,74.81,4.05
242,ati,0,TD,19,13.21,18.34,73.91,4.83
243,porto torres,0,IT,81,40.84,8.4,53.6,9.17
244,fairbanks,1,US,34,64.84,-147.72,14.61,8.05
245,padang,20,ID,100,-0.92,100.36,81.47,5.39
246,rio gallegos,0,AR,86,-51.62,-69.22,39.2,10.29
247,pevek,0,RU,69,69.7,170.27,31.61,9.64
248,leningradskiy,0,RU,84,69.38,178.42,22.88,8.97
249,sao filipe,56,CV,100,14.9,-24.5,67.97,14.23
250,omboue,56,GA,100,-1.57,9.26,80.39,6.06
251,akdepe,0,TM,32,42.05,59.39,55.71,11.41
252,lujiang,40,CN,51,31.26,117.28,86.0,4.47
253,dutlwe,8,BW,91,-23.98,23.93,63.29,13.33
254,mackenzie,90,CA,48,55.34,-123.09,21.2,9.17
255,xiaoweizhai,68,CN,78,26.23,107.51,72.47,5.95
256,natal,40,BR,94,-5.81,-35.21,77.0,5.82
257,inta,64,RU,43,66.04,60.13,22.88,3.94
258,mandali,0,IQ,62,33.75,45.55,69.95,6.29
259,el dorado,92,VE,73,6.71,-61.64,78.41,3.94
260,husavik,0,CA,74,50.56,-96.99,-3.23,6.4
261,kalianget,12,ID,100,-7.74,113.68,81.65,0.92
262,campohermoso,0,ES,82,36.94,-2.13,55.4,4.7
263,coquimbo,0,CL,87,-29.95,-71.34,55.4,6.93
264,salalah,75,OM,74,17.01,54.1,82.4,4.7
265,portland,20,US,56,45.52,-122.67,39.63,3.36
266,nyurba,32,RU,45,63.29,118.35,17.21,5.39
267,aleksandrovka,20,RU,99,46.65,38.4,43.13,12.66
268,vyshestebliyevskaya,0,RU,70,45.2,37.0,48.2,6.71
269,nanortalik,44,GL,100,60.14,-45.24,32.33,18.81
270,kyren,0,RU,51,51.68,102.13,22.07,2.82
271,saint anthony,1,US,57,43.97,-111.68,19.96,5.5
272,noumea,20,NC,74,-22.28,166.46,78.8,18.34
273,waddan,32,LY,78,29.16,16.14,50.24,5.84
274,baisha,56,CN,46,19.23,109.45,86.87,1.7
275,kirovskiy,48,RU,40,45.09,133.51,40.07,10.42
276,coahuayana,44,MX,67,18.62,-100.35,63.74,2.15
277,amberley,0,NZ,72,-43.15,172.73,59.0,18.34
278,payo,56,ID,91,-3.75,103.64,84.62,4.38
279,wajima,40,JP,60,37.4,136.9,68.0,21.92
280,atambua,12,ID,90,-9.11,124.89,85.97,3.15
281,matay,0,EG,78,28.42,30.79,62.93,14.45
282,kimbe,88,PG,100,-5.56,150.15,78.05,4.5
283,nouadhibou,0,MR,88,20.93,-17.03,62.6,17.22
284,gamba,0,CN,95,28.28,88.52,27.29,2.04
285,hithadhoo,48,MV,100,-0.6,73.08,84.35,3.83
286,vardo,90,US,70,39.62,-77.74,43.11,4.7
287,najran,0,SA,29,17.54,44.22,75.2,6.4
288,goderich,88,CA,78,43.74,-81.71,31.25,2.59
289,nouakchott,0,MR,93,18.08,-15.98,66.35,16.24
290,ellisras,8,ZA,81,-23.67,27.74,67.25,6.17
291,gwadar,0,PK,86,25.12,62.33,80.3,2.59
292,tuljapur,0,IN,30,18.01,76.07,96.05,7.18
293,pasighat,20,IN,41,28.06,95.33,81.47,2.15
294,dekar,12,BW,72,-21.53,21.93,61.67,13.89
295,barkhan,0,PK,65,29.9,69.52,73.73,3.94
296,umba,92,RU,93,66.69,34.34,33.05,15.46
297,necochea,0,AR,96,-38.55,-58.74,52.4,6.4
298,palatka,1,US,93,29.65,-81.64,66.92,5.17
299,wanaka,8,NZ,47,-44.7,169.14,55.91,9.08
300,sorong,36,ID,100,-0.86,131.25,81.92,5.95
301,talara,24,PE,93,-4.58,-81.27,67.61,1.92
302,port-cartier,20,CA,50,50.03,-66.88,6.8,8.05
303,parral,80,CL,92,-36.14,-71.82,59.15,3.71
304,simao,80,CN,46,22.76,100.79,79.4,2.82
305,raudeberg,0,NO,63,61.99,5.14,25.38,6.93
306,deep river,90,CA,58,46.1,-77.49,30.2,4.16
307,arkhangelsk,90,RU,100,64.54,40.54,35.6,15.66
308,palu,64,ID,82,-0.9,119.87,72.74,1.92
309,vao,76,EE,87,59.1,26.19,30.44,14.45
310,matagami,24,NG,88,9.67,8.4,67.61,4.38
311,zhuhai,75,CN,80,40.71,112.04,32.0,13.42
312,chimbote,24,PE,94,-9.08,-78.59,66.62,6.4
313,florian,1,US,60,48.44,-96.63,11.61,17.22
314,sarreguemines,0,FR,71,49.11,7.07,50.0,9.17
315,vestmannaeyjar,92,IS,100,63.44,-20.27,33.77,17.81
316,ust-nera,80,RU,75,64.57,143.24,21.98,2.82
317,idritsa,0,RU,79,56.33,28.9,32.69,19.04
318,nome,90,US,83,30.04,-94.42,71.56,9.17
319,quatre cocos,75,MU,88,-20.21,57.76,80.6,8.05
320,torata,8,PE,68,-17.08,-70.84,23.78,1.92
321,havre-saint-pierre,40,CA,65,50.23,-63.6,8.6,5.82
322,saint-francois,0,FR,67,46.42,3.91,51.8,10.29
323,fortuna,0,ES,93,38.18,-1.13,50.9,3.36
324,tunceli,0,TR,53,39.11,39.55,47.23,6.93
325,lavrentiya,0,RU,84,65.58,-170.99,24.05,2.59
326,cockburn town,80,TC,100,21.46,-71.14,75.62,11.1
327,tazovskiy,24,RU,93,67.47,78.7,-7.37,11.21
328,ondjiva,92,AO,99,-17.07,15.73,64.82,2.93
329,joshimath,64,IN,100,30.57,79.57,26.84,0.36
330,brownsville,90,US,88,25.91,-97.49,74.28,13.87
331,nalut,36,LY,47,31.86,10.98,63.2,11.99
332,apomu,20,NG,88,6.85,3.21,82.4,2.24
333,carnarvon,92,ZA,96,-30.97,22.13,58.34,6.62
334,amga,80,RU,60,60.89,131.98,16.49,11.65
335,lata,64,IN,86,30.78,78.62,58.07,1.7
336,sambava,56,MG,100,-14.27,50.17,79.22,12.66
337,huaibei,32,CN,100,33.96,116.79,74.54,5.95
338,marawi,44,PH,62,8.0,124.29,82.91,4.16
339,namtsy,80,RU,64,62.72,129.66,15.41,14.23
340,dubovka,90,RU,86,49.06,44.83,41.0,13.42
341,temascalcingo,36,MX,83,19.92,-100.0,49.97,2.48
342,baherden,0,TM,91,38.44,57.43,56.0,5.17
343,puerto madero,40,AR,77,-34.61,-58.36,64.31,4.7
344,kanchanaburi,0,TH,74,14.03,99.53,90.92,4.38
345,chabahar,0,IR,91,25.29,60.65,79.67,1.48
346,lexington,90,US,87,38.05,-84.5,48.2,11.41
347,baruun-urt,0,MN,35,46.68,113.28,29.45,8.41
348,kedrovyy,40,RU,54,56.17,91.82,30.2,11.18
349,abha,5,SA,55,18.22,42.5,64.4,5.82
350,lerik,75,AZ,67,38.78,48.42,55.36,2.24
351,wanning,0,AT,80,48.64,13.53,41.0,4.7
352,mamakan,64,RU,42,57.82,114.02,19.28,4.27
353,iqaluit,90,CA,78,63.75,-68.52,14.0,10.29
354,maniitsoq,0,GL,64,65.42,-52.9,19.19,8.08
355,atar,0,MR,48,20.52,-13.05,54.83,5.5
356,biltine,0,TD,17,14.53,20.93,75.44,16.24
357,ambilobe,0,MG,99,-13.19,49.05,80.75,5.61
358,srednekolymsk,8,RU,70,67.46,153.71,37.19,6.4
359,iskateley,92,RU,88,67.68,53.15,19.01,23.29
360,richards bay,0,ZA,78,-28.77,32.06,76.16,10.42
361,naze,88,NG,97,5.43,7.07,74.27,3.94
362,manokwari,12,ID,100,-0.87,134.08,83.36,17.69
363,esfahan,0,IR,21,32.66,51.68,60.8,4.7
364,dunedin,12,NZ,43,-45.87,170.5,62.66,12.55
365,alvinopolis,76,BR,94,-20.11,-43.05,65.36,2.82
366,subiaco,0,AU,40,-31.95,115.83,90.25,11.41
367,san-pedro,48,CI,95,4.75,-6.64,77.06,8.19
368,katsuura,20,JP,44,33.93,134.5,75.2,13.87
369,shelburne,90,CA,80,44.08,-80.2,33.28,2.93
370,carutapera,92,BR,97,-1.2,-46.02,77.87,3.6
371,van,75,TR,33,38.51,43.37,57.2,18.34
372,yilan,40,TW,61,24.75,121.75,80.46,13.87
373,cayenne,20,GF,88,4.94,-52.33,77.0,3.36
374,biak,76,ID,91,-0.91,122.88,82.82,2.59
375,dongsheng,8,CN,70,29.72,112.52,84.8,10.65
376,dali,24,CN,43,25.6,100.24,70.49,2.15
377,tzucacab,48,MX,70,20.07,-89.05,76.16,4.38
378,comodoro rivadavia,0,AR,49,-45.87,-67.48,69.8,27.51
379,jalu,0,LY,61,29.03,21.55,57.17,8.08
380,homer,1,US,37,59.64,-151.54,34.74,3.36
381,novikovo,8,UA,94,45.05,34.56,43.58,7.74
382,healdsburg,1,US,87,38.61,-122.87,50.02,6.29
383,okhotsk,68,RU,71,59.36,143.24,28.46,17.69
384,lebrija,90,ES,100,36.92,-6.08,57.27,2.24
385,almeirim,40,PT,93,39.21,-8.63,56.62,14.99
386,binga,76,ZW,100,-17.62,27.34,71.03,4.16
387,sijunjung,88,ID,94,-0.69,100.95,75.62,2.71
388,saint-andre-les-vergers,0,FR,62,48.29,4.05,49.78,12.75
389,jumla,24,NP,67,29.28,82.18,46.55,1.14
390,gat,12,SN,93,14.69,-16.54,62.6,2.24
391,great yarmouth,75,GB,93,52.61,1.73,50.0,11.41
392,piranshahr,20,IR,30,36.7,45.14,57.89,1.92
393,kununurra,0,AU,17,-15.77,128.74,102.2,9.17
394,omaruru,88,NA,77,-21.42,15.95,60.68,5.73
395,slave lake,1,CA,77,55.28,-114.77,6.8,3.36
396,troitsko-pechorsk,92,RU,84,62.71,56.19,29.09,11.77
397,wattegama,24,LK,78,7.35,80.68,83.99,3.71
398,beterou,0,BJ,86,9.2,2.26,75.44,9.42
399,linfen,0,CN,34,36.09,111.52,81.47,5.73
400,smirnykh,12,RU,62,49.74,142.83,27.38,16.69
401,bukachacha,36,RU,21,52.99,116.91,23.06,8.41
402,kichera,68,RU,75,55.93,110.1,18.02,7.4
403,braganca,68,BR,97,-1.05,-46.77,74.99,2.37
404,kuytun,0,RU,40,54.34,101.51,32.24,6.73
405,zerbst,75,DE,87,51.96,12.09,48.2,8.05
406,lucea,20,JM,73,18.44,-78.17,77.0,1.12
407,kaspiysk,20,RU,62,42.88,47.64,59.0,17.9
408,anloga,20,GH,83,5.79,0.9,82.4,9.17
409,belaya gora,20,RU,94,68.54,146.19,29.81,8.19
410,kamennomostskiy,24,RU,62,44.29,40.18,46.46,9.19
411,saravan,40,AM,48,39.72,45.65,60.8,2.24
412,udachnyy,48,RU,53,66.42,112.4,12.62,4.72
413,buala,88,SB,97,-8.15,159.59,82.01,4.72
414,alpena,90,US,63,45.06,-83.43,31.44,5.82
415,xining,0,CN,23,36.62,101.77,61.67,3.49
416,hami,44,CN,46,42.84,93.51,58.61,8.63
417,tiksi,36,RU,85,71.64,128.87,13.97,7.07
418,shahrud,0,IR,81,36.42,54.97,57.98,3.6
419,bandarbeyla,76,SO,100,9.49,50.81,80.57,5.73
420,presidente medici,12,BR,93,-11.18,-61.9,71.21,1.7
421,zaysan,80,KZ,87,47.47,84.87,30.26,4.94
422,vila velha,40,BR,88,-3.71,-38.6,78.8,4.7
423,atkarsk,76,RU,94,51.88,45.01,34.04,14.79
424,shu,0,KZ,52,43.6,73.76,53.12,16.02
425,cap-aux-meules,0,CA,100,47.38,-61.86,28.19,11.1
426,agogo,12,GH,95,6.8,-1.08,72.65,5.61
427,shingu,20,JP,56,33.72,135.99,71.6,6.93
428,rockport,90,US,88,28.02,-97.05,74.12,16.11
429,barillas,40,ES,71,41.97,-1.66,50.0,6.93
430,antofagasta,20,CL,82,-23.65,-70.4,62.6,3.36
431,faya,5,SA,55,18.39,42.45,64.4,5.82
432,namie,75,JP,46,37.52,140.86,63.0,5.82
433,santa maria,76,BR,97,-29.69,-53.81,64.28,2.59
434,mangan,20,IN,70,27.5,88.54,42.14,1.92
435,lakselv,75,NO,92,70.05,24.96,17.31,13.87
436,vostok,76,RU,53,46.45,135.83,30.89,8.63
437,berlevag,75,NO,100,70.86,29.09,31.03,25.28
438,sao joao da barra,80,BR,94,-21.64,-41.05,81.74,22.39
439,linxia,0,CN,33,35.6,103.21,55.82,3.49
440,aykhal,24,RU,68,65.95,111.51,11.09,6.96
441,williams lake,90,CA,79,52.13,-122.14,24.8,2.15
442,pontal,0,BR,88,-21.02,-48.04,73.4,3.04
443,kamaishi,75,JP,67,39.28,141.86,60.8,6.93
444,gushikawa,40,JP,57,26.35,127.87,75.65,12.75
445,phalombe,56,MW,90,-15.81,35.65,69.86,4.16
446,basco,90,US,100,40.33,-91.2,35.98,6.93
447,hagere hiywet,64,ET,86,8.98,37.85,57.53,1.59
448,sigli,8,ID,94,5.38,95.96,83.72,4.61
449,savannah bight,0,HN,96,16.45,-85.85,80.03,17.25
450,constitucion,0,MX,40,23.99,-104.67,53.48,7.4
451,tabas,68,IR,36,33.6,56.92,70.49,3.94
452,helena,90,US,85,46.59,-112.04,14.0,5.82
